_id,image_urls,name,description,price,compare_at_price
1,https://wsrv.nl/?w=300&h=300&url=https://cdn.blanx…7bb873bf8f350/product_image-airfryer1jpg-9502.png,Silver Crest 4L Air fryer,<p>Silver Crest 4 Liters Air Fryer&nbsp;</p><p>Minimalist Knob design</p><p>Easy to use design</p><p>1100W Saves Electricity</p><p>Timer adjustment (Upto 60 minutes)</p><p>1 free tray included</p><p>1 year Warranty covers all internal damages</p><p>Basket Size 150mm x 150mm x 115mm</p>,4500,5000
2,"product_details\images\64321c099ab99977296dc01d_product_image-airfryer2-4548.png, product_details\images\64321c099ab99977296dc01d_product_image-bkacj6l-1227.png, product_details\images\64321c099ab99977296dc01d_product_image-6lgreen-6699.png, product_details\images\64321c099ab99977296dc01d_product_image-6l-6830.png",Silver Crest 6 Liters Air Fryer ,<p>2400W&nbsp;</p><p>Timer Set (5 minutes to 65 minutes)</p><p>Temperature Control (80C to 210C)</p><p>Delay Adjustment</p><p>Warm Function</p><p>4 Pre sets</p><p>Front Facing Digital Display</p><p>Touch Control</p><p>1 free tray included</p><p>1 year Warranty covers all internal damages</p><p>Basket Size 170mm x 170mm x 130mm</p>,5999,10200
3,product_details\images\64321c729ab99977296dc03b_product_image-airfryer3jpg-8022.png,Silver Crest 8 Liters Air Fryer,<p>2400W&nbsp;</p><p>Timer Set (5 minutes to 65 minutes)</p><p>Temperature Control (80C to 210C)</p><p>Delay Adjustment</p><p>Warm Function</p><p>4 Pre sets</p><p>Top Sided Digital Display</p><p>Touch Control</p><p>1 free tray included</p><p>1 year Warranty&nbsp;</p><p>Basket Size: 230mm x 230mm x 110mm</p><p>Color: Black</p>,7999,14000
4,product_details\images\643cd8da9ef799f47c3c803c_product_image-led-galaxy-light-1858.png,LED Galaxy Projector Light,<p>LED Galaxy Projector Light Bluetooth Remote Control Starry Projection Lamp Star Projector Light Star Night Light with Mp3</p><ul><li>Shell Meterialï¼š ABS</li><li>Maximum Power: 7.5V</li><li>Input voltage ï¼š DC 5V/2A</li><li>Projection light sourceï¼š LED light bead source</li><li>Projection distance: 2-10M/6.56ft-32.8ft</li><li>Projection area: The projection area is 40 square meters at a distance of 5M and 60 square meters at a distance of 8M</li><li>Power input: 100-240V AC 50/60HZ 1.5A</li><li>Use and maintenance:Indoor use; maintenance-free</li><li>Package includes:</li><li>1x LED Projector Light</li><li>1x USB Cable</li><li>1X Remote Control</li><li>1x User Manual</li></ul>,1111,1599
5,"product_details\images\6442651a9ef799f47c40b81e_product_image-octo2-0984.png, product_details\images\6442651a9ef799f47c40b81e_product_image-octo3-0890.png, product_details\images\6442651a9ef799f47c40b81e_product_image-octo4-7576.png, product_details\images\6442651a9ef799f47c40b81e_product_image-img_6423-8594.png, product_details\images\6442651a9ef799f47c40b81e_product_image-img_6416-0082.png, product_details\images\6442651a9ef799f47c40b81e_product_image-img_6414-3374.png, product_details\images\6442651a9ef799f47c40b81e_product_image-img_6415-8089.png, product_details\images\6442651a9ef799f47c40b81e_product_image-img_6418-8250.png, product_details\images\6442651a9ef799f47c40b81e_product_image-octo1promo-0471.png, product_details\images\6442651a9ef799f47c40b81e_product_image-octo2promo-0719.png, product_details\images\6442651a9ef799f47c40b81e_product_image-octo3promo-0574.png",Silicone Suction Phone Case Adhesive Mount,"<h1>Product Description</h1><h3>Dimensions</h3><p>Length : 8.0cm</p><p>Width : 5.5cm</p><p>Height : 0.2cm</p><p>Weight : 5.4 gm</p><h3>Build</h3><p>Material : Silicone</p><p>Adhesive type : 300LSE Low Surface Energy Acrylic 8153LE</p><p>Adhesive thickness : 2mm</p><p>Number of Suckers : 24</p><p>Silicone Suction Pad For Mobile Phone Fixture</p><p><br></p><h3>Features</h3><p>1.Rectangular and single-sided design with 24 suckers.</p><p>2.Compatible with most phones and other devices.</p><p>3.Suitable to stick on the smooth surfaces.</p><p>4.Made of silicone material.</p><p>5.Suction cups provide you with great possibilities of mounting it without adding any scratches to your devices.</p><p>6.Can be used for: -Makeup tutorials, CAR GPS navigation, Watching recipes while you cook, Stream video from unique angles perform, Youtube videos hands-free, Motorcycle gas tank GPS, Suction cups are powerful and can be washed or cleaned with warm water and mild soap.</p><h3>Functionalities</h3><p>DIY Silicone Rubber Sucker Pad Backed 3M Sticker High Quality Suction Cup For VR Mobile MP4 GPS Accessories</p><p>Capture Epic Videos and Photos â€“ Ideal for online influencers, people who make TikTok videos, or shooting content for Instagram. This silicone cell phone mount for cases helps you create shareable content completely hands free.</p><p>Peel-and-Stick Adhesive Backing â€“ Our non-slip silicone pad sticky grip mount attaches to almost any standard (smooth) cellphone case which makes it compatible with iPhone, Samsung Galaxy, HTC, Note, and other common phone brands.</p><h3>Other Features</h3><p>Trusted Quality Assurance â€“ Our all items backed by unbeatable customer service and support, long-lasting durability, and quality control you can count on, so you can be sure youâ€™re getting a product that fits your everyday, on-the-go lifestyle.</p><p>Cute, Hands-Free Phone Holder â€“ This innovative phone suction cup mount for cell phone cases attaches to the back of your smartphone and lets you adhere it to mirrors, windows, and other clean, flat surfaces for taking videos or photographs</p><p>Strong, Reliable Suction Cups â€“ We fitted each cell phone case holder sticker pad with 24 individual suction cups to provide a stronger, more reliable hold, so you can worry less about it falling or dropping while youâ€™re capturing great shots.</p>",99,100
6,"product_details\images\644266909ef799f47c40bd14_product_image-octo1-3587.png, product_details\images\644266909ef799f47c40bd14_product_image-octo2-3515.png, product_details\images\644266909ef799f47c40bd14_product_image-octo3-2521.png, product_details\images\644266909ef799f47c40bd14_product_image-octo4-8516.png",Pack of 5 Silicone Suction Phone Case Adhesive Mount,"<p>Length : 8.0cm</p><p>Width : 5.5cm</p><p>Height : 0.2cm</p><p>Material : Silicone</p><p>Adhesive type : 300LSE Low Surface Energy Acrylic 8153LE</p><p>Adhesive thickness : 2mm</p><p>Weight : 5.4 gm</p><p>Number of Suckers : 24</p><p>Silicone Suction Pad For Mobile Phone Fixture</p><p>1.Rectangular and single-sided design with 24 suckers.</p><p>2.Compatible with most phones and other devices.</p><p>3.Suitable to stick on the smooth surfaces.</p><p>4.Made of silicone material.</p><p>5.Suction cups provide you with great possibilities of mounting it without adding any scratches to your devices.</p><p>6.Can be used for: -Makeup tutorials, CAR GPS navigation, Watching recipes while you cook, Stream video from unique angles perform, Youtube videos hands-free, Motorcycle gas tank GPS, Suction cups are powerful and can be washed or cleaned with warm water and mild soap.</p><p>DIY Silicone Rubber Sucker Pad Backed 3M Sticker High Quality Suction Cup For VR Mobile MP4 GPS Accessories</p><p>Capture Epic Videos and Photos â€“ Ideal for online influencers, people who make TikTok videos, or shooting content for Instagram. This silicone cell phone mount for cases helps you create shareable content completely hands free.</p><p>Peel-and-Stick Adhesive Backing â€“ Our non-slip silicone pad sticky grip mount attaches to almost any standard (smooth) cellphone case which makes it compatible with iPhone, Samsung Galaxy, HTC, Note, and other common phone brands.</p><p>Trusted Quality Assurance â€“ Our all items backed by unbeatable customer service and support, long-lasting durability, and quality control you can count on, so you can be sure youâ€™re getting a product that fits your everyday, on-the-go lifestyle.</p><p>Cute, Hands-Free Phone Holder â€“ This innovative phone suction cup mount for cell phone cases attaches to the back of your smartphone and lets you adhere it to mirrors, windows, and other clean, flat surfaces for taking videos or photographs</p><p>Strong, Reliable Suction Cups â€“ We fitted each cell phone case holder sticker pad with 24 individual suction cups to provide a stronger, more reliable hold, so you can worry less about it falling or dropping while youâ€™re capturing great shots.</p>",475,500
7,"product_details\images\6443890b9ef799f47c41493a_product_image-img_6431-9067.png, product_details\images\6443890b9ef799f47c41493a_product_image-img_6430-5548.png",Pack of 10  Silicone Suction Phone Case Adhesive Mount,"<p>Length : 8.0cm</p><p>Width : 5.5cm</p><p>Height : 0.2cm</p><p>Material : Silicone</p><p>Adhesive type : 300LSE Low Surface Energy Acrylic 8153LE</p><p>Adhesive thickness : 2mm</p><p>Weight : 5.4 gm</p><p>Number of Suckers : 24</p><p>Silicone Suction Pad For Mobile Phone Fixture</p><p>1.Rectangular and single-sided design with 24 suckers.</p><p>2.Compatible with most phones and other devices.</p><p>3.Suitable to stick on the smooth surfaces.</p><p>4.Made of silicone material.</p><p>5.Suction cups provide you with great possibilities of mounting it without adding any scratches to your devices.</p><p>6.Can be used for: -Makeup tutorials, CAR GPS navigation, Watching recipes while you cook, Stream video from unique angles perform, Youtube videos hands-free, Motorcycle gas tank GPS, Suction cups are powerful and can be washed or cleaned with warm water and mild soap.</p><p>DIY Silicone Rubber Sucker Pad Backed 3M Sticker High Quality Suction Cup For VR Mobile MP4 GPS Accessories</p><p>Capture Epic Videos and Photos â€“ Ideal for online influencers, people who make TikTok videos, or shooting content for Instagram. This silicone cell phone mount for cases helps you create shareable content completely hands free.</p><p>Peel-and-Stick Adhesive Backing â€“ Our non-slip silicone pad sticky grip mount attaches to almost any standard (smooth) cellphone case which makes it compatible with iPhone, Samsung Galaxy, HTC, Note, and other common phone brands.</p><p>Cute, Hands-Free Phone Holder â€“ This innovative phone suction cup mount for cell phone cases attaches to the back of your smartphone and lets you adhere it to mirrors, windows, and other clean, flat surfaces for taking videos or photographs</p>",950,1000
8,"product_details\images\646f1e1ef21f9308b69afd7a_product_image-img_6778-7329.png, product_details\images\646f1e1ef21f9308b69afd7a_product_image-img_6781-8546.png, product_details\images\646f1e1ef21f9308b69afd7a_product_image-img_6781-7889.png, product_details\images\646f1e1ef21f9308b69afd7a_product_image-img_6782-0323.png, product_details\images\646f1e1ef21f9308b69afd7a_product_image-img_6782-5529.png, product_details\images\646f1e1ef21f9308b69afd7a_product_image-silly2-4327.png, product_details\images\646f1e1ef21f9308b69afd7a_product_image-silly3-4417.png, product_details\images\646f1e1ef21f9308b69afd7a_product_image-silly4-3808.png, product_details\images\646f1e1ef21f9308b69afd7a_product_image-all-7131.png",Silicone Tray for Air Fryer,<h1>Features</h1><ul><li>High Temperature Resistance</li><li>Reusable</li><li>Non-Stick</li><li>100% Silicone</li><li>Streamlined Ridges</li></ul>,600,1000
9,"product_details\images\64c9e8488cd4b87d31033793_product_image--4283, product_details\images\64c9e8488cd4b87d31033793_product_image-silver-15l-3104.png, product_details\images\64c9e8488cd4b87d31033793_product_image-silvercrest-premium5l-airfryer01-8572.png",Silver Crest 15 Liters Air Fryer,"<ul><li><strong>Large Capacity:</strong> With a 15-liter capacity, the air fryer can easily cook food for a family or a group of friends.</li></ul><p>&nbsp;</p><ul><li><strong>Healthier Cooking</strong>: The air fryer uses minimal oil, making it a healthier alternative to traditional deep-frying methods.</li></ul><p><br></p><ul><li><strong>Digital Touch Screen Interface</strong>: The air fryer has a sleek and modern design with an easy-to-use digital touch screen interface for convenient operation.</li></ul><p>&nbsp;</p><ul><li><strong>Powerful Heating Element</strong>: The fryer's 1800-Watt heating element can reach temperatures up to 210 degrees Celsius, ensuring that food is cooked evenly and quickly.</li></ul><p>&nbsp;</p><ul><li><strong>Built-in Timer and Automatic Shut-Off</strong>: The air fryer has a built-in timer that can be set up to 65 minutes and an automatic shut-off function to prevent overcooking.</li></ul><p>&nbsp;</p><ul><li><strong>Accessories Included</strong>: The air fryer comes with several accessories, including a baking tray, a fry basket, and a skewer rack, making it versatile and convenient.</li></ul><p>&nbsp;</p><ul><li><strong>Easy to Clean</strong>: The air fryer has a non-stick coating, making it easy to wipe down with a damp cloth, and its parts are dishwasher safe for easy cleaning.</li></ul><p><img src=""https://cdn.blanxer.com/uploads/6405c139eb97bb873bf8f350/product_description-frame-71-9437.png""></p>",10999,25000
10,"product_details\images\64cd2dbaafcf76b8acecd914_product_image-blender2-6439.png, product_details\images\64cd2dbaafcf76b8acecd914_product_image-svcblender2-2397.png, product_details\images\64cd2dbaafcf76b8acecd914_product_image-blender1-2824.png",Commercial Blender 5500W,"""<h3>Silver Crest Commercial Blender 5500W SC-1589</h3><p>Rated Power: 5500W</p><p>Voltage: 200V - 50hZ</p><p>Type: Multi-purpose Blender</p><p>Container Material: BPA-Free</p><p>Blades: 8 leaves stainless steel</p><p>Motor: 100% Copper</p><p>Speed Levels: 1 to 15</p><p>Speed Control: Knob</p><p>Responsive Switch</p><p>Burst Mode: Yes</p><p>Motor Variations: 9520 / 7630</p><p>Motor Speed : Upto 28000 RPM*</p><p>Body Color: Red/Black</p><p>Brand: Silver Crest</p><p>Model No: SC-1589</p><p>Over heat auto shut off: Yes</p><p>Warranty: None</p><h4>Whats Included:</h4><p>Blender Base&nbsp;</p><p>Jar to Motor Attachment</p><p>2-Liters Jar</p><p>500ml Jar</p><p>1 Closed Lid</p><p>1 Adjustable Lid</p><p>1 Stirring Attachment(Tamper)</p><p><img src=""https://cdn.blanxer.com/uploads/6405c139eb97bb873bf8f350/product_description-frame-69-(1)-8611.png""></p><p><img src=""https://cdn.blanxer.com/uploads/6405c139eb97bb873bf8f350/product_description-frame-70-2401.png""></p>""",2999,6200
11,"product_details\images\64e3332e495b64b5a19bcd52_product_image-af86gl-8877.png, product_details\images\64e3332e495b64b5a19bcd52_product_image-glass3-0734.png, product_details\images\64e3332e495b64b5a19bcd52_product_image-glass4-7849.png, product_details\images\64e3332e495b64b5a19bcd52_product_image-glass5-4025.png, product_details\images\64e3332e495b64b5a19bcd52_product_image-glass1-4744.png, product_details\images\64e3332e495b64b5a19bcd52_product_image-glass2-6937.png",8.5 Liters Air Fryer Transparent,<p>FRAGILE ITEM DELIVERY ONLY INSIDE KATHMANDU VALLEY</p><p>Power Wattage: 2400W&nbsp;</p><p>Timer Functionality : (1 minutes to 60 minutes)</p><p>Top Sided Digital Display</p><p>Touch Control</p><p>1 free tray included</p><p>1 year Warranty&nbsp;</p><p>Basket Size: 210mm x 210mm x 240mm</p>,10999,12000
12,product_details\images\64e33537495b64b5a19bd092_product_image-3in1bf-5192.png,"Breakfast Oven, Coffee maker and grill",<p>Brand: Silver Crest</p>,5500,0
13,"product_details\images\64e33618495b64b5a19bd198_product_image-deh-8634.png, product_details\images\64e33618495b64b5a19bd198_product_image-deh-1891.png",Food Dehydrator ( Sukuti Maker),<p>Dehydrate all types of food.</p>,5800,0
